% Model:              20230330_4_ideal_sweep.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jan 14 2026, 18:30
% Table:              Table 5 - 
% freq                                            neff                                              mode_overlap                                      A_eff                                             overlap
1.881197673950000E14                              1.390630932150754E0-4.864853375487772E-3i         0.000000000000000E0                               1.994749006834803E-10                             3.121339450340719E-7+6.237949237873378E-8i
1.881197673950000E14                              1.391801557728231E0-4.061906653151455E-3i         0.000000000000000E0                               1.831036769982227E-10                             2.373851449476211E-7-8.064536641459823E-8i
1.903682108300000E14                              1.387666423986407E0-4.143100002384037E-3i         0.000000000000000E0                               3.520168621329325E-10                             -4.433185227469329E-7-1.070950643829725E-6i
1.903682108300000E14                              1.388976503337109E0-4.002228110953863E-3i         0.000000000000000E0                               3.185525641876763E-10                             9.358468338803255E-8-3.076421197220062E-7i
1.903682108300000E14                              1.389135986762494E0-4.580956782060486E-3i         0.000000000000000E0                               2.597142050264199E-10                             2.342618907792536E-7-2.294942124078307E-6i
1.903682108300000E14                              1.391078470005509E0-3.006878928365925E-11i        1.000000000000000E0                               2.753818127315534E-12                             9.136412596902672E-1+4.049540496891615E-5i
1.903682108300000E14                              1.393253760917191E0-3.950188943325730E-3i         0.000000000000000E0                               1.738992189315963E-10                             9.206923448581437E-8-1.065314965467579E-7i
1.926166542650000E14                              1.389118114557253E0-4.267555809415484E-3i         0.000000000000000E0                               3.208216782825309E-10                             1.012071530442569E-6-7.978624434418222E-7i
1.926166542650000E14                              1.389550589069459E0-4.010840244532709E-3i         0.000000000000000E0                               3.327336201126080E-10                             -1.547919298481057E-7-1.167392586660358E-6i
1.926166542650000E14                              1.390627466355964E0-4.200466325577480E-3i         0.000000000000000E0                               2.831325279791311E-10                             7.105291487148054E-7-4.275600765111073E-7i
1.926166542650000E14                              1.390937872157667E0-4.189687486912879E-3i         0.000000000000000E0                               2.806112886962902E-10                             1.923885338567241E-7-8.311200798824784E-7i
1.926166542650000E14                              1.392135164890174E0-1.937371174761509E-11i        1.000000000000000E0                               2.695124486322294E-12                             9.173196989714884E-1+3.502003607603881E-5i
1.948650977000000E14                              1.390515491203676E0-4.088115028376823E-3i         0.000000000000000E0                               3.492008434100517E-10                             4.005876905685091E-7-6.483102596060071E-7i
1.948650977000000E14                              1.390887884763814E0-3.922357481389518E-3i         0.000000000000000E0                               3.403323420622739E-10                             2.787151560008105E-7-8.437871002032806E-7i
1.948650977000000E14                              1.392062184432610E0-4.364405497666296E-3i         0.000000000000000E0                               2.600086298529586E-10                             4.367416221807418E-7-8.961494235866606E-7i
1.948650977000000E14                              1.392084801639337E0-3.808207033241670E-3i         0.000000000000000E0                               3.210427116360284E-10                             1.234872590759876E-7-2.151028165081106E-7i
1.948650977000000E14                              1.393171087252894E0-1.238830290291866E-11i        1.000000000000000E0                               2.640193174432883E-12                             9.210856577278967E-1+2.762056743469923E-5i
1.971135411350000E14                              1.392189080653547E0-4.024531307370388E-3i         0.000000000000000E0                               3.527397152623374E-10                             5.990451217828211E-7-3.384583368311284E-7i
1.971135411350000E14                              1.392524997236773E0-3.812892234950909E-3i         0.000000000000000E0                               3.327774073092341E-10                             1.496672556811586E-7-7.859117314213277E-7i
1.971135411350000E14                              1.393508691511821E0-4.147260417714698E-3i         0.000000000000000E0                               2.591197689035302E-10                             3.293412484479191E-7-5.146651499016630E-7i
1.971135411350000E14                              1.393662333056650E0-3.726475478546682E-3i         0.000000000000000E0                               3.234572558790890E-10                             -4.995529109321170E-9-1.380138098840967E-7i
1.971135411350000E14                              1.394186216309548E0-7.999343010176563E-12i        1.000000000000000E0                               2.588761733653024E-12                             9.243350166147430E-1+2.399976034565177E-5i
1.993619845700000E14                              1.393595245890076E0-3.946988737447357E-3i         0.000000000000000E0                               3.512690025538993E-10                             4.651714824440547E-7-2.201756170821203E-7i
1.993619845700000E14                              1.393940636860618E0-3.731795621092378E-3i         0.000000000000000E0                               3.368376319094197E-10                             1.706800893464100E-7-4.799498246902124E-7i
1.993619845700000E14                              1.394861260472389E0-3.989888777417996E-3i         0.000000000000000E0                               2.742751964195432E-10                             3.533919524593048E-7-3.557833316964309E-7i
1.993619845700000E14                              1.395056385923014E0-3.690586398534426E-3i         0.000000000000000E0                               3.180459285246677E-10                             1.928558028298956E-7-1.460748175080256E-7i
1.993619845700000E14                              1.395181173607836E0-5.266236771206758E-12i        1.000000000000000E0                               2.540504940973418E-12                             9.277838071527678E-1+2.000907079252076E-5i
2.016104280050000E14                              1.394823218056934E0-3.818991339924740E-3i         0.000000000000000E0                               3.161156006257641E-10                             4.559032235777136E-7-1.917754577062604E-7i
2.016104280050000E14                              1.395178692381729E0-3.638719317657164E-3i         0.000000000000000E0                               3.364673499175408E-10                             -3.893730645070980E-8-3.310978860603211E-7i
2.016104280050000E14                              1.396156509806136E0-3.472837985829566E-12i        1.000000000000000E0                               2.495149877734238E-12                             9.308900474146045E-1+1.691400164351191E-5i
2.016104280050000E14                              1.396286798636875E0-3.877235773325443E-3i         0.000000000000000E0                               2.814820944912604E-10                             3.364749174790343E-7-1.415644798974926E-7i
2.016104280050000E14                              1.396435709052577E0-3.718174762905005E-3i         0.000000000000000E0                               2.994616844758442E-10                             1.929335066532072E-7-1.330994101771056E-7i
2.038588714400000E14                              1.396143856681870E0-3.697570077956729E-3i         0.000000000000000E0                               3.232905636782533E-10                             2.620734454704609E-7-2.102809042940145E-7i
2.038588714400000E14                              1.396523440690714E0-3.594046730902066E-3i         0.000000000000000E0                               3.514733597428587E-10                             6.199678340766764E-8-1.623031649833611E-7i
2.038588714400000E14                              1.397111975993681E0-2.289250863316474E-12i        1.000000000000000E0                               2.452491084503302E-12                             9.339584706040385E-1+1.366501769423172E-5i
2.038588714400000E14                              1.397541876537876E0-3.637235929963578E-3i         0.000000000000000E0                               3.049751478313386E-10                             2.092682766502096E-7-4.676308305287200E-9i
2.038588714400000E14                              1.397757322243278E0-3.776362244708483E-3i         0.000000000000000E0                               2.848336626423548E-10                             2.155066048374920E-7-1.309379927062005E-7i
2.061073148750000E14                              1.397586214592135E0-3.702491144873332E-3i         0.000000000000000E0                               3.500525252065758E-10                             2.718533142266333E-7-1.171641693831378E-7i
2.061073148750000E14                              1.397862692504644E0-3.529433732214809E-3i         0.000000000000000E0                               3.401288703252124E-10                             1.724412181229498E-7-2.467974437372213E-7i
2.061073148750000E14                              1.398048423302267E0-1.574548882348185E-12i        1.000000000000000E0                               2.412291980931594E-12                             9.366555981429148E-1+1.212091012801038E-5i
2.061073148750000E14                              1.398861192931290E0-3.479663102980828E-3i         0.000000000000000E0                               3.189408338380815E-10                             8.084183783956058E-8-5.777242238301269E-9i
2.061073148750000E14                              1.398917079247878E0-3.774201317596124E-3i         0.000000000000000E0                               2.674471046496739E-10                             2.027952411802740E-7-1.493716394266857E-7i
