% Model:              PCF_sweep.mph
% Version:            COMSOL 6.3.0.420
% Date:               Oct 15 2025, 02:46
% Table:              Table 1 - 
% freq                                            neff                                              mode_overlap                                      overlap
1.701322199150000E14                              1.419261333239942E0-2.211881234930489E-4i         1.000000000000000E0                               6.262276080292511E-1+7.729924678068915E-2i
1.723806633500000E14                              1.412227966249545E0-1.767430870568333E-3i         0.000000000000000E0                               -7.066122104366876E-2-4.174045158773396E-2i
1.723806633500000E14                              1.412882314157340E0-1.737349346636283E-3i         0.000000000000000E0                               9.515960099725396E-2-3.557024916895480E-1i
1.723806633500000E14                              1.415752476530850E0-1.007750989079441E-3i         0.000000000000000E0                               2.202898190864735E-4-1.654747381765804E-4i
1.723806633500000E14                              1.415792643941484E0-1.026721199842060E-3i         0.000000000000000E0                               -3.338970768508141E-4+2.327971353728355E-4i
1.723806633500000E14                              1.419750466396660E0-2.071390338683281E-4i         1.000000000000000E0                               6.330378592976618E-1+7.679272084349203E-2i
1.746291067850000E14                              1.412848817109476E0-1.719386044444431E-3i         0.000000000000000E0                               -5.831954109491683E-2-5.094584009166162E-2i
1.746291067850000E14                              1.413513808508747E0-1.667936858984832E-3i         0.000000000000000E0                               6.431627740290663E-2-3.643679837920256E-1i
1.746291067850000E14                              1.416291695256199E0-9.598914975995752E-4i         0.000000000000000E0                               9.734826244178096E-5+1.391985817066776E-4i
1.746291067850000E14                              1.416331967980967E0-9.842753025871129E-4i         0.000000000000000E0                               2.453208065552666E-4+1.290498143080607E-4i
1.746291067850000E14                              1.420228358929802E0-1.948111982596417E-4i         1.000000000000000E0                               6.396007005895146E-1+7.652920816298325E-2i
1.768775502200000E14                              1.413461927005306E0-1.655136019804197E-3i         0.000000000000000E0                               -5.171091156343492E-2-5.013727411315644E-2i
1.768775502200000E14                              1.414165779256306E0-1.595417044616827E-3i         0.000000000000000E0                               7.480122220374016E-2-3.648388529591476E-1i
1.768775502200000E14                              1.416813168967304E0-9.212645744045583E-4i         0.000000000000000E0                               -9.564636946626475E-5+2.258545395340384E-4i
1.768775502200000E14                              1.416849990014663E0-9.493518145069017E-4i         0.000000000000000E0                               -8.264036517779613E-5+3.066638248411235E-4i
1.768775502200000E14                              1.420695348322989E0-1.821828683881395E-4i         1.000000000000000E0                               6.464489171519945E-1+7.634936757128530E-2i
1.791259936550000E14                              1.414059492083553E0-1.588803904362181E-3i         0.000000000000000E0                               -4.880986622329146E-2-4.758575247142206E-2i
1.791259936550000E14                              1.414801138179812E0-1.526784264884156E-3i         0.000000000000000E0                               6.792565181172742E-2-3.682577942267200E-1i
1.791259936550000E14                              1.417321431212945E0-8.853698403823385E-4i         0.000000000000000E0                               -3.331844210398233E-4+1.436434524269331E-4i
1.791259936550000E14                              1.417354723720948E0-9.134885938620221E-4i         0.000000000000000E0                               4.049468316031471E-4-8.776894432007464E-5i
1.791259936550000E14                              1.421151998874394E0-1.702849822333522E-4i         1.000000000000000E0                               6.534713012304441E-1+7.499033456670380E-2i
1.813744370900000E14                              1.414636311436320E0-1.540645895002555E-3i         0.000000000000000E0                               -4.009533274387499E-2-4.881913800347905E-2i
1.813744370900000E14                              1.415403310186293E0-1.464727978316367E-3i         0.000000000000000E0                               7.688389203556845E-2-3.679416866416119E-1i
1.813744370900000E14                              1.417821584595593E0-8.484001873952224E-4i         0.000000000000000E0                               1.392284733442735E-4-3.425785165422318E-4i
1.813744370900000E14                              1.417851970002936E0-8.809580339313815E-4i         0.000000000000000E0                               -4.279146960799195E-4+1.427321337806060E-5i
1.813744370900000E14                              1.421599140311273E0-1.594981354931146E-4i         1.000000000000000E0                               6.601642346714711E-1+7.500521586936039E-2i
1.836228805250000E14                              1.415184223787950E0-1.499858495567503E-3i         0.000000000000000E0                               -2.887172845657020E-2-5.245931105177791E-2i
1.836228805250000E14                              1.415973492445795E0-1.399942750685051E-3i         0.000000000000000E0                               3.960315481503427E-2-3.753081689054472E-1i
1.836228805250000E14                              1.418312971990563E0-8.101234349047120E-4i         0.000000000000000E0                               -2.188888083684523E-4+1.844016358439522E-4i
1.836228805250000E14                              1.418341699343839E0-8.475893210274669E-4i         0.000000000000000E0                               2.092857427170722E-4+9.768217943839355E-5i
1.836228805250000E14                              1.422036835614130E0-1.498384548525313E-4i         1.000000000000000E0                               6.671864393902849E-1+7.305224627902743E-2i
1.858713239600000E14                              1.415731523767391E0-1.449758091234434E-3i         0.000000000000000E0                               -2.197457834739757E-2-5.234904334360716E-2i
1.858713239600000E14                              1.416550326671493E0-1.340666823158018E-3i         0.000000000000000E0                               2.628019609873312E-2-3.774645806622240E-1i
1.858713239600000E14                              1.418789924800346E0-7.769957897356758E-4i         0.000000000000000E0                               -2.229385105656319E-4+1.136136050314534E-4i
1.858713239600000E14                              1.418815239604451E0-8.187768245323700E-4i         0.000000000000000E0                               -2.779270798700609E-5+2.638635466058568E-4i
1.858713239600000E14                              1.422465775821308E0-1.401488466665867E-4i         1.000000000000000E0                               6.739283357954837E-1+7.282010818807622E-2i
1.881197673950000E14                              1.416280315353223E0-1.397200894859379E-3i         0.000000000000000E0                               -2.235430945917192E-2-5.044475908766519E-2i
1.881197673950000E14                              1.417126052428183E0-1.293457192838483E-3i         0.000000000000000E0                               3.568084148860358E-2-3.766183686322782E-1i
1.881197673950000E14                              1.419252478474131E0-7.477901459841280E-4i         0.000000000000000E0                               -2.280305727161668E-4+1.741887700811765E-5i
1.881197673950000E14                              1.419273340132618E0-7.904033643760557E-4i         0.000000000000000E0                               -3.743718387203593E-4-7.263488297886705E-5i
1.881197673950000E14                              1.422886616669749E0-1.305846548443331E-4i         1.000000000000000E0                               6.809147900731333E-1+7.267268890488960E-2i
1.903682108300000E14                              1.416784688542357E0-1.352946215868697E-3i         0.000000000000000E0                               -1.021099101618375E-2-4.959033273270835E-2i
1.903682108300000E14                              1.417660279844836E0-1.232409474224509E-3i         0.000000000000000E0                               1.139290941126207E-2-3.794958931364998E-1i
1.903682108300000E14                              1.419712728961206E0-7.175357961785105E-4i         0.000000000000000E0                               -3.435066910828948E-4-3.561406532216658E-4i
1.903682108300000E14                              1.419731002149584E0-7.637533984222976E-4i         0.000000000000000E0                               -1.288148343239485E-4+3.744087747369113E-5i
1.903682108300000E14                              1.423298945653448E0-1.224580281453234E-4i         1.000000000000000E0                               6.876498095170520E-1+7.264644789765143E-2i
1.926166542650000E14                              1.417317163228899E0-1.310395145840626E-3i         0.000000000000000E0                               -1.306187296001068E-2-4.841849417321612E-2i
1.926166542650000E14                              1.418213193131282E0-1.195918779226601E-3i         0.000000000000000E0                               3.506161988818501E-2-3.767627662734912E-1i
1.926166542650000E14                              1.420154576387299E0-6.915827728009361E-4i         0.000000000000000E0                               4.985947627003072E-4+4.545203640234805E-4i
1.926166542650000E14                              1.420166562698621E0-7.362150521042847E-4i         0.000000000000000E0                               -4.943067611677607E-4-1.561944691261784E-4i
1.926166542650000E14                              1.423704262475297E0-1.137982272367388E-4i         1.000000000000000E0                               6.945187004237394E-1+7.215230584791128E-2i
1.948650977000000E14                              1.417792385445911E0-1.262797482135468E-3i         0.000000000000000E0                               -2.059051466515339E-4-4.608475326690454E-2i
1.948650977000000E14                              1.418718690917513E0-1.136053461558772E-3i         0.000000000000000E0                               4.152163680381025E-3-3.795976735631040E-1i
1.948650977000000E14                              1.420598304146933E0-6.639887308630182E-4i         0.000000000000000E0                               -7.615134457952406E-5+3.677183752554885E-4i
1.948650977000000E14                              1.420607018537213E0-7.140078382044633E-4i         0.000000000000000E0                               -4.013685976464454E-5-1.593212319552024E-4i
1.948650977000000E14                              1.424101503988588E0-1.067431863756694E-4i         1.000000000000000E0                               7.013134486140685E-1+7.134102918638721E-2i
1.971135411350000E14                              1.418278884770504E0-1.222422125452197E-3i         0.000000000000000E0                               3.050830481383294E-3-4.376522430602843E-2i
1.971135411350000E14                              1.419229406708951E0-1.093636100931713E-3i         0.000000000000000E0                               1.337048760763480E-2-3.788283202986363E-1i
1.971135411350000E14                              1.421028002601640E0-6.400289547492608E-4i         0.000000000000000E0                               -1.818046689484288E-4-2.423660208154731E-4i
1.971135411350000E14                              1.421031212137691E0-6.900444797882803E-4i         0.000000000000000E0                               -1.195333703354716E-4-5.851552012564258E-5i
1.971135411350000E14                              1.424492194297192E0-9.959185467823011E-5i         1.000000000000000E0                               7.079069006459800E-1+7.304692804209555E-2i
1.993619845700000E14                              1.418775987909733E0-1.183735083251163E-3i         0.000000000000000E0                               8.617775355880353E-4-4.272650147243085E-2i
1.993619845700000E14                              1.419739240635937E0-1.061957097449112E-3i         0.000000000000000E0                               1.872142802589645E-2-3.768711719670231E-1i
