% Model:              20240422_3B_ideal_sweep.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jan 14 2026, 18:43
% Table:              Table 2 - 
% freq                                            neff                                              mode_overlap                                      A_eff                                             overlap
1.813744370900000E14                              1.411766107832486E0-1.459263978399029E-3i         0.000000000000000E0                               1.937998968680832E-10                             -2.268317327972529E-3-4.639128909046396E-2i
1.813744370900000E14                              1.412887061991796E0-1.313697524051795E-3i         0.000000000000000E0                               1.063000954303322E-10                             5.924818750132976E-3-3.814013469599971E-1i
1.813744370900000E14                              1.415007665202363E0-7.594688784057490E-4i         0.000000000000000E0                               1.383320530663388E-10                             -1.291848220574787E-6-3.748131505610983E-4i
1.813744370900000E14                              1.415012064616904E0-8.180622127097391E-4i         0.000000000000000E0                               1.440882566753011E-10                             -3.371097027453166E-4+2.243085976175444E-4i
1.813744370900000E14                              1.419128067144723E0-1.178371023850776E-4i         1.000000000000000E0                               2.777574599376691E-11                             6.783689820232077E-1+6.693605033379474E-2i
1.836228805250000E14                              1.412338281519171E0-1.396179925227082E-3i         0.000000000000000E0                               1.903562187224863E-10                             5.551303123876910E-3-4.192816874516148E-2i
1.836228805250000E14                              1.413496346790245E0-1.245876347195732E-3i         0.000000000000000E0                               1.032290024412867E-10                             -1.863909970135986E-2-3.819524776950035E-1i
1.836228805250000E14                              1.415530025370310E0-7.305987884825622E-4i         0.000000000000000E0                               1.370887505406582E-10                             7.944230217310750E-5+3.091908053125104E-5i
1.836228805250000E14                              1.415531252789593E0-7.905437660910157E-4i         0.000000000000000E0                               1.429625494397282E-10                             -1.241105507126376E-4+9.286495076921436E-5i
1.836228805250000E14                              1.419600810164694E0-1.093637610749021E-4i         1.000000000000000E0                               2.665132453696118E-11                             6.861373826357016E-1+6.672261856551337E-2i
1.858713239600000E14                              1.412915672522209E0-1.344461144521249E-3i         0.000000000000000E0                               1.882822421755046E-10                             1.080768150675702E-2-3.900911346847791E-2i
1.858713239600000E14                              1.414101961909443E0-1.194687474832188E-3i         0.000000000000000E0                               1.017162492269607E-10                             -1.480408454248352E-2-3.814445335009000E-1i
1.858713239600000E14                              1.416031101574769E0-7.623166877971760E-4i         0.000000000000000E0                               1.413872977985407E-10                             -1.849803589854200E-4-9.598720934244660E-5i
1.858713239600000E14                              1.416038039577728E0-7.025877085894744E-4i         0.000000000000000E0                               1.356975368770146E-10                             3.669460955100759E-4+4.333228354823957E-5i
1.858713239600000E14                              1.420065234207766E0-1.010661149578924E-4i         1.000000000000000E0                               2.557178141295474E-11                             6.940751331337492E-1+6.524866274547132E-2i
1.881197673950000E14                              1.413499780007665E0-1.307565390317770E-3i         0.000000000000000E0                               1.800654133632346E-10                             6.828504311445401E-3-3.931621787897196E-2i
1.881197673950000E14                              1.414700276854524E0-1.160516892003657E-3i         0.000000000000000E0                               1.016903424003663E-10                             -7.101490716209740E-3-3.793193184765185E-1i
1.881197673950000E14                              1.416518021731122E0-7.314974816959893E-4i         0.000000000000000E0                               1.393774771141539E-10                             -1.889175288928939E-4-4.804747041631431E-4i
1.881197673950000E14                              1.416527261577387E0-6.760992515733218E-4i         0.000000000000000E0                               1.341308999891651E-10                             -1.598892353761118E-6+5.207190732640613E-4i
1.881197673950000E14                              1.420521642531915E0-9.303704353090698E-5i         1.000000000000000E0                               2.453734747065294E-11                             7.017975753490713E-1+6.483010633910136E-2i
1.903682108300000E14                              1.414033962776017E0-1.245186513585400E-3i         0.000000000000000E0                               1.819534935025684E-10                             1.532676931961228E-2-3.145654662452802E-2i
1.903682108300000E14                              1.415265162294105E0-1.100140053333091E-3i         0.000000000000000E0                               9.903403989035762E-11                             -2.995641523294997E-2-3.784897592673787E-1i
1.903682108300000E14                              1.417003982557124E0-7.098368275319230E-4i         0.000000000000000E0                               1.384944507355169E-10                             6.991186922230560E-5+1.595194125295931E-5i
1.903682108300000E14                              1.417018121498467E0-6.551045550649504E-4i         0.000000000000000E0                               1.333954249060334E-10                             -2.961396720559627E-5-3.875776461070627E-4i
1.903682108300000E14                              1.420969100029332E0-8.618732487257352E-5i         1.000000000000000E0                               2.353492274211023E-11                             7.096084559746767E-1+6.328461062390138E-2i
1.926166542650000E14                              1.414589208558179E0-1.219984694421409E-3i         0.000000000000000E0                               1.708970980486077E-10                             1.301190804928310E-2-3.510598883978867E-2i
